"id";"parent";"level";"type";"name";"part";"v_total";"v_eu";"v_nation";"v_proc_eu";"v_proc_nation"
"total";"";"a";"SUMA";"Ogółem";"";397504708;84004046;313500662;21.13;78.87
"1";"";"b";"FUNKCJA 1";"ZARZĄDZANIE PAŃSTWEM";"";1561521;25140;1536381;1.61;98.39
"1-1";"1";"c";"Zadanie 1.1";"Obsługa merytoryczna i kancelaryjno-biurowa Prezydenta Rzeczypospolitej Polskiej";"";151833;0;151833;0.0;100.0
"1-1-1";"1-1";"d";"Podzadanie 1.1.1";"Obsługa i koordynacja urzędu Prezydenta RP";"";130148;0;130148;0.0;100.0
"1-1-1-1";"1-1-1";"e";"Dysponent";"Kancelaria Prezydenta RP";"01";130148;0;130148;0.0;100.0
"1-1-2";"1-1";"d";"Podzadanie 1.1.2";"Obsługa prawna urzędu Prezydenta RP";"";4960;0;4960;0.0;100.0
"1-1-2-1";"1-1-2";"e";"Dysponent";"Kancelaria Prezydenta RP";"01";4960;0;4960;0.0;100.0
"1-1-3";"1-1";"d";"Podzadanie 1.1.3";"Obsługa merytoryczna Biura Bezpieczeństwa Narodowego";"";16725;0;16725;0.0;100.0
"1-1-3-1";"1-1-3";"e";"Dysponent";"Kancelaria Prezydenta RP";"01";16725;0;16725;0.0;100.0
"1-2";"1";"c";"Zadanie 1.2";"Obsługa Parlamentu i jego organów w zakresie merytorycznym i organizacyjnym";"";445085;0;445085;0.0;100.0
"1-2-1";"1-2";"d";"Podzadanie 1.2.1";"Wsparcie merytoryczne parlamentarzystów";"";62815;0;62815;0.0;100.0
"1-2-1-1";"1-2-1";"e";"Dysponent";"Kancelaria Sejmu";"02";50426;0;50426;0.0;100.0
"1-2-1-2";"1-2-1";"e";"Dysponent";"Kancelaria Senatu";"03";12389;0;12389;0.0;100.0
"1-2-2";"1-2";"d";"Podzadanie 1.2.2";"Zapewnianie warunków wykonywania mandatu posła i senatora";"";382270;0;382270;0.0;100.0
"1-2-2-1";"1-2-2";"e";"Dysponent";"Kancelaria Sejmu";"02";329750;0;329750;0.0;100.0
"1-2-2-2";"1-2-2";"e";"Dysponent";"Kancelaria Senatu";"03";52520;0;52520;0.0;100.0
"1-3";"1";"c";"Zadanie 1.3";"Obsługa merytoryczna i kancelaryjno-biurowa Prezesa Rady Ministrów i Rady Ministrów";"";128922;24186;104736;18.76;81.24
"1-3-1";"1-3";"d";"Podzadanie 1.3.1";"Obsługa i koordynacja prac rządu";"";63232;0;63232;0.0;100.0
"1-3-1-1";"1-3-1";"e";"Dysponent";"Kancelaria Prezesa Rady Ministrów";"16";63232;0;63232;0.0;100.0
"1-3-2";"1-3";"d";"Podzadanie 1.3.2";"Obsługa prawna Rady Ministrów";"";20108;296;19812;1.47;98.53
"1-3-2-1";"1-3-2";"e";"Dysponent";"Rządowe Centrum Legislacji";"75";20108;296;19812;1.47;98.53
"1-3-3";"1-3";"d";"Podzadanie 1.3.3";"Zarządzanie korpusem służby cywilnej oraz podnoszenie jakości pracy w urzędach administracji rządowej";"";40592;23832;16760;58.71;41.29
"1-3-3-1";"1-3-3";"e";"Dysponent";"Kancelaria Prezesa Rady Ministrów";"16";40592;23832;16760;58.71;41.29
"1-3-4";"1-3";"d";"Podzadanie 1.3.4";"Redagowanie i udostępnianie Dziennika Ustaw Rzeczypospolitej Polskiej oraz Dziennika Urzędowego Rzeczypospolitej Polskiej ``Monitor Polski``";"";4990;58;4932;1.16;98.84
"1-3-4-1";"1-3-4";"e";"Dysponent";"Rządowe Centrum Legislacji";"75";4990;58;4932;1.16;98.84
"1-4";"1";"c";"Zadanie 1.4";"Obsługa Trybunału Konstytucyjnego w zakresie merytorycznym i organizacyjnym";"";22598;0;22598;0.0;100.0
"1-4-1";"1-4";"d";"Podzadanie 1.4.1";"Działalność orzecznicza Trybunału Konstytucyjnego";"";7630;0;7630;0.0;100.0
"1-4-1-1";"1-4-1";"e";"Dysponent";"Trybunał Konstytucyjny";"06";7630;0;7630;0.0;100.0
