"id";"parent";"level";"type";"name";"part";"v_total";"v_eu";"v_nation";"v_proc_eu";"v_proc_nation";
"total";;"a";"Total";"Total";;397504708;84004046;313500662;"21.13";"78.87";
"1";;"b";"Function 1";"STATE MANAGEMENT";;1561521;25140;1536381;"1.61";"98.39";
"1-1";"1";"c";"Task 1.1";"Substantive and formal-office support for the President of the Republic of Poland";;151833;0;151833;"0.0";"100.0";
"1-1-1";"1-1";"d";"Subtask 1.1.1";"Support and coordination of the President's office";;130148;0;130148;"0.0";"100.0";
"1-1-1-1";"1-1-1";"e";"Administer";"The Chancellery of the President of the Republic of Poland";"01";130148;0;130148;"0.0";"100.0";
"1-1-2";"1-1";"d";"Subtask 1.1.2";"Legal support for the office of the President of the Republic of Poland";;4960;0;4960;"0.0";"100.0";
"1-1-2-1";"1-1-2";"e";"Administer";"The Chancellery of the President of the Republic of Poland";"01";4960;0;4960;"0.0";"100.0";
"1-1-3";"1-1";"d";"Subtask 1.1.3";"Substantive support for the National Security Bureau";;16725;0;16725;"0.0";"100.0";
"1-1-3-1";"1-1-3";"e";"Administer";"The Chancellery of the President of the Republic of Poland";"01";16725;0;16725;"0.0";"100.0";
"1-2";"1";"c";"Task 1.2";"Substantive and organisational support for the Parliament and its bodies ";;445085;0;445085;"0.0";"100.0";
"1-2-1";"1-2";"d";"Subtask 1.2.1";"Substantive support for PMs";;62815;0;62815;"0.0";"100.0";
"1-2-1-1";"1-2-1";"e";"Administer";"The Chancellery of the Sejm (lower chamber of the Polish parliament)";"02";50426;0;50426;"0.0";"100.0";
"1-2-1-2";"1-2-1";"e";"Administer";"The Chancellery of the Senate";"03";12389;0;12389;"0.0";"100.0";
"1-2-2";"1-2";"d";"Subtask 1.2.2";"Ensuring conditions for performance of an MP's mandate";;382270;0;382270;"0.0";"100.0";
"1-2-2-1";"1-2-2";"e";"Administer";"The Chancellery of the Sejm (lower chamber of the Polish parliament)";"02";329750;0;329750;"0.0";"100.0";
"1-2-2-2";"1-2-2";"e";"Administer";"The Chancellery of the Senate";"03";52520;0;52520;"0.0";"100.0";
"1-3";"1";"c";"Task 1.3";"Substantive and formal-office support for the President of the Council of Ministers and the Council of Ministers";;128922;24186;104736;"18.76";"81.24";
"1-3-1";"1-3";"d";"Subtask 1.3.1";"Support and coordination of government works";;63232;0;63232;"0.0";"100.0";
"1-3-1-1";"1-3-1";"e";"Administer";"The Chancellery of the Prime Minister";"16";63232;0;63232;"0.0";"100.0";
"1-3-2";"1-3";"d";"Subtask 1.3.2";"Legal support for the Council of Ministers";;20108;296;19812;"1.47";"98.53";
"1-3-2-1";"1-3-2";"e";"Administer";"Government Legislation Centre";"75";20108;296;19812;"1.47";"98.53";
"1-3-3";"1-3";"d";"Subtask 1.3.3";"Managing the civil service corps and improvement of the quality of work at the government administration bodies";;40592;23832;16760;"58.71";"41.29";
"1-3-3-1";"1-3-3";"e";"Administer";"The Chancellery of the Prime Minister";"16";40592;23832;16760;"58.71";"41.29";
